课程名称,授课老师,课程内容,考勤与平时作业,考核方式,课程成绩
高等数学B2,冯慧,高数下，老师讲课生动有趣。,课程安排灵活，无签到，每节课有课后作业。,平时作业+闭卷考试。,80
大物b实验,吴昊,实验很水任务很少 速冲,9个实验报告都有签到,可能有考试也可能没考试,94
高等数学B2,罗壮初,老师很幽默，讲得也很清楚，期末还回带着一起复习,没有提问和签到，正常交作业就好,期末是学院统一的闭卷考试,97
高等数学A1,洪伟,洪伟老师人还是很好的，讲课也比较清楚，而且拖不了一点堂,作业不多，和大部分老师一样，很少签到,正常期末考试，平时分还可以,85
大英2,陈芃,芃芃姐是神，一般人我不告诉他,就第一节课签了一次，其他很水,考试，一对一或多口试,90
大学物理D,周利,老师人很好，上课比较直接，也很幽默，会直接说哪个考哪个不考,有签到码签到，可以让同学发，作业几乎每堂课都有，不过有答案,闭卷考试，然后统一阅卷，,94
概率论与数理统计,张正良,张正良giegie会帮你好好学习????,随机点人，有默写。。。。,考试。。。。。。。。。,100
微积分（下）,黄正华,老师讲的很好 但是不是很捞,没有签到 正常完成作业,期中会进行一次考试 还有作业成绩 构成平时分 最后还有期末考试,87
高等数学,p?y?z,讲课很好 给分能捞 但是有口音,考勤签到 作业适量 有点多,期末考试 占比百分之七十,90
芭蕾艺术,洪一鸣,芭蕾基本知识，几个舞曲（真跳），鉴赏中外芭蕾戏剧,每次都点名，其他的没有,把上课学的全部跳一遍,93
概率论与数理统计,余月力,老师上课很仔细，给分很好,作业比较少，较轻松，,期末考试，无特别的要求,90
高数a,胡新启,老师讲课手写版书，进度较快,无签到，作业是课后题,期末考试结课，没有别的特别的,82
马克思主义基本原理,沈云龙,马原，老师把我捞起来了，据说捞了很多，像90，85很多,签到提问小组作业小作业,期末考试，作业，签到，实践,90
高数a,胡新启,老师讲课手写版书，进度较快,无签到，作业是课后题,期末考试结课，没有别的特别的,82
大物,王平,老师讲的非常仔细用心，但是喜欢拖堂,有签到，作业，每周交两次作业,考试---------,91
马克思主义原理,谭璇,谭老师是刚入职的老师，温柔漂亮，讲课很用心，人超好，给分很好很好，身边的同学都满了,偶尔有考勤，会有提问，自愿回答，回答者会加分（但其实我没回答过也满绩了）,考试，小组作业，个人学习报告,92
高等数学A,黄学英,老师讲课把握不住重点,有时有上课做题签到，无提问,期末考试考试+平时分,88
高等数学A,黄学英,老师讲课把握不住重点,有时有上课做题签到，无提问,期末考试考试+平时分,88
无机及分析化学C,唐宏武,讲得其实挺清晰的，但考试不捞,课后会留作业，但是作业是抽查制度,期末考试+平时考勤作业,72
高等数学,黄学英,讲的不错，给分还行。,签到容易，平时分只要在群里提出，回答问题就有,就期末考试，，，，，,84
高等数学A,李大美,主要讲的就是高等数学,没有签到 但是每两周都要上交一次作业,闭卷考试 老师会捞 放心放心,81
高等数学B,邓昌松,老师教的很好，会捞，给分较高,这些都无，但有课后作业,期末考试结合平时作业完成度,90
中国近代史纲要,赵天鹭,鹭鹭gg超赞就是说！闭眼冲盲选！,不签到没提问，有统一要求的小组展示。事儿很少,常规考试，但是鹭鹭gg会帮忙讲重点,90
高数B下,刘恒心,老师可以，不签到，想来就来,书上的作业，有答案可以直接抄,考试ksksksksk,90
高等数学A1,周进,老师很好很认真，平时分会给的很好，前提是你认真做作业,签到的话是有几次的，但不是课课都签。,期末考试加上平时成绩，平时成绩有期中考试和平时作业,77
大学生心理健康,曾翘楚,翘楚yyds！上课超级有意思，会放电影做小游戏什么的。,不定时签到，平时作业都是很有意义的小任务,全校开卷统考，允许带教材和资料,93
线性代数B,黄正华,上课非常好给分也还行,不签到但每节课都要交作业,考试加平时分，但平时分很魔幻不知道怎么给的,80
高等数学A1（重修）,刘丁酉,课堂管的不严 讲课一般 给分较好,每一章有平时作业 每节课在纸上签到,考核方式为期末考试结课,78
高等数学,雷玲,讲的挺好的，老师很用心,每次交平时作业，不签到,期末考试。。。。。。,76
大学物理,王倜,老师人非常好，会捞人，讲的就是书上的内容,签到有点多 回答问题会加分,闭卷考试加上平时分和章节考试,80
线性代数D,周明春,给分一般，几乎课堂分与卷面分同分，老师上课要求很多，节节课点名,每堂课均点名，上课不允许看手机或总低头，容易被点,闭卷考试，每年都差不多类型，做往年卷很重要,90
线性代数B,李绎楠,老师很好很有趣，讲课全面透彻,几乎不点名，作业两周交一次,考试+平时成绩。。。。。。,78
高等数学,杨丽华,讲的很一般 人也不好,不签到 作业蛮多 会上课随机收小作业 给分很垃圾 基本平时分不满,考试加上平时成绩11,60
线性代数B,李绎楠,老师很好很有趣，讲课全面透彻,几乎不点名，作业两周交一次,考试+平时作业+点名吧,78
高等数学B2,张灿,老师讲得很水，基本是个PPT reader。,有线下签到，作业量适度但不怎么会批改,参加期末考试，没有其它要求,76
马克思主义基本原理,沈云龙,老师人很好！特别和蔼！平常会有两次小作业但时间比较宽裕，期末给分也还不错，我和同学都有90+,平常会有两次小作业，偶尔签到,考试+平时作业分和一两次考勤,91
高等数学B2,胡振忠,高数上下册所有内容。老师讲得还不错，不过内容比较基础，想要深入学习的同学可能要自学,学期后半段点过几次名，平时只要完成任务即可,考试+平时作业打分＋考勤,86
思政,谭璇,讲得很好 还有小视频 互动很好 给分很高 无脑冲就完了,拍视频 个人报告（很短）,闭卷考试 总之都一样啦,91
高等数学A1,湛少锋,平时分不错，上课累，高数嘛,要求全勤，作业多，什么都有,正常期末考试呗那还有啥,80
高等数学,周明春,老师上课管得比较严 不能玩手机,没有提问，作业平时交给助教和qq群拍照,闭卷考试，就大家一起考,95
马克思主义基本原理,龚玉敏,老师为人亲切，讲解很清楚详细，给分也好,平时会签到，有小视频或研究报告，还需要写几条摘录,闭卷考试，全是大题，一般背了基本原理再编一下分析就可以写满,92
习概,文鹏,老师除了喜欢互动，其他方面都蛮好的,有签到，提问和一次平时作业,现在还是开卷考，以后应该闭卷,96
高等数学B,罗壮初,老师讲的很好给分也很好会捞人,每节课后都有作业、不点名,考试?平时成绩、当然不过55就没办法了,80
高等数学B,康肖松,老师人很好，平时人很少,只需要交作业就好‘’‘’‘’‘’,考试‘’‘’‘’‘’‘’‘’‘’,90
高等数学A1（重修）,刘丁酉,课堂管的不严 讲课一般 给分较好,每一章有平时作业 每节课在纸上签到,考核方式为期末考试结课,78
高等数学B,康肖松,老师人很好，平时人很少,只需要交作业就好‘’‘’‘’‘’,考试‘’‘’‘’‘’‘’‘’‘’,90
大学物理B,刘晓泽,老师讲课很细致，会点同学回答解题思路，考勤严格,有签到，小测，提问例题,武汉大学统一期末考。。。,86
线性代数C,孙林林,特别好，虽然上课不咋地,拿表考勤不点名，有平时作业,武汉大学组织统一期末考试,90
高数,李大美,老师平时和蔼，最后给分还可以。,没有签到，作业分单双号，交替交作业,期末考试，闭卷考试，全部都是大题，没有选择填空,75
“”,1,老师很好，课堂作业少，给分高,考勤和平时作业少 给分高,论文1000字 课程展示,89
大学物理B,祁宁,大物 老师很好，讲的很精，听了就能高分，不用听网课什么的，做好预习复习，轻轻松松90+，老师平时上课呀的是智慧课堂，参与就有平时分,有签到，提问，但不是点名，在智慧课堂上提交答案,闭卷考试，平时分。。。,90
中国近现代史纲要,李学桃,桃哥平常基本不点人回答问题，上课的时候看电脑还是写作业都随意。而且桃哥讲历史的时候史料真的很丰富，对我来说听的津津有味。,有一次小论文，一次小组报告和一次口述史展示，展示的时候会随机点名，15周会有一次签到,当然是每个史纲课都必经的考试,90
马克思主义基本原理,龚玉敏,上课讲得很好，卡绩老师会捞,签到不少，思政课微视频啥的吧,期末考试，一次课堂展示,86
高级英语,徐义志,就是课本课文，会有discussion，老师非常有耐心，鼓励式教育,会有签到和提问，oral test，期末考试,oral test，平时writing，期末考试,92
线性代数,焦雨领,老师人很好，讲课认真，宋浩老师讲课清晰，期末无压力，给分很好,无签到，无提问，只有平时作业，一周一交,期末考试全校统考，老师根据考试成绩弹性改变分数占比,89
